species,r2pet5,Tmean95,Tmax95,rainfall5,VPDmax95,N.x,Genus.x,Trivial.x,spcode,taxa,P50_samples,P50,P12,P88,slope,Ks,branch_diam,P50e,P12e,P88e,slopee,Kmaxe,branch_diame,lop.mean,lop.sd,sla,tlp,hsm,P50sd,ldmc,lma,wd
Agathis australis,22,15.245,24.5,1235.75,64,452,Agathis,australis,AGAAUS,conifer,3,-2.656000045,-1.939101902,-3.372898188,87.74990815,6.90E-02,5.643333333,0.208302684,0.252531977,0.325505191,32.29115202,1.91E-05,0.496700223,-2.2910237,0.12130472,3.478759391,-2.537131718,0.118868327,0.360790832,479.2297712,279.9355409,0.47
Aristotelia serrata,27,12.715,23.015,1209.4,65,498,Aristotelia,serrata,ARISER,angio,8,-2.38473639,-1.889229415,-2.880243365,112.3539416,6.05E-01,6.68875,0.114616322,0.155854783,0.118805219,11.0871192,0.000150988,0.242736906,-1.9710456,0.064710266,18.25068727,-2.270909939,0.113826451,0.324183914,290.426845,69.28894761,0.330946615
Ascarina lucida,48.35,12,21.6,2254.5,45,491,Ascarina,lucida,ASCLUC,angio,5,-1.853270831,-1.661434178,-2.045107484,329.1021875,7.28E-01,6.702,0.06802291,0.064320718,0.090357574,91.38691355,0.00025707,0.207747443,-1.2362901,0.094379098,16.73092918,-1.659593363,0.193677468,0.152103851,369.8818132,59.76954352,NA
Carpodetus serratus,27,13.405,23.3,1259.8,68.05,500,Carpodetus,serratus,CARSER,angio,3,-4.465907988,-2.026814005,-6.90500197,23.27639036,1.02E-01,6.438333333,0.590651435,0.078774323,1.258014085,5.100130894,6.32E-05,0.557646344,-1.9939534,0.301258693,14.97879317,-2.289969229,2.175938759,1.023038295,404.5689327,72.83073716,0.552650025
Coprosma dumosa,28,11.4,22,1087.95,65.05,500,Coprosma,dumosa,COPDUM,angio,4,-4.187206178,-1.341082026,-7.03333033,18.13900319,2.27E-01,7.11125,0.653225092,0.467968141,0.889024983,1.961047773,5.95E-05,0.306868423,-2.371505625,0.270478411,9.935848711,-2.60409268,1.583113498,1.306450184,349.382983,100.6456549,0.542020656
Coprosma foetidissima,38,11.2,21.6,1424.5,52,500,Coprosma,foetidissima,COPFOE,angio,6,-3.507791485,-2.043964119,-4.97161885,36.73678536,2.58E-01,6.7375,0.294160264,0.3290558,0.347301737,4.600052153,3.84E-05,0.166446938,-1.7517156,0.143383852,18.7566406,-2.088427379,1.419364106,0.720542549,181.7914616,52.66927608,0.538068577
Coprosma grandifolia,28,13.6,23.3,1412.2,61,497,Coprosma,grandifolia,COPGRA,angio,5,-3.724700645,-2.408811901,-5.04058939,45.50875737,5.19E-01,6.34,0.046325218,0.246359055,0.255337997,11.05741318,0.000127359,0.270078692,-1.4185777,0.073122184,12.16782299,-1.811256646,1.913443999,0.103586337,371.9119942,82.18397001,0.447229195
Coprosma linariifolia,25,10.6,21.4,1040.7,77,499,Coprosma,linariifolia,COPLIN,angio,5,-7.606506883,-4.322870608,-10.89014316,17.48051405,2.21E-01,6.845,0.409491149,0.847255507,0.593619333,3.182211701,5.96E-05,0.183868159,NA,NA,NA,NA,NA,0.915650045,398.3096691,124.1396774,0.58093169
Coprosma microcarpa,27,10.8,21.5,1168.95,71.05,500,Coprosma,microcarpa,COPMIC,angio,4,-4.189337792,-1.469699398,-6.908976186,18.88415136,3.56E-01,7.1575,0.352387624,0.299083965,0.530227608,1.849833859,9.61E-05,0.547633165,-2.0456178,0.219132582,15.99917723,-2.33295401,1.856383782,0.704775248,437.4853801,62.50321412,NA
Coprosma pseudocuneata,39,9.2,20.105,1544.55,57,500,Coprosma,pseudocuneata,COPPSE,angio,2,-3.486567112,-0.943870273,-6.02926395,20.18267954,3.13E-01,6.2325,0.250408108,0.157147913,0.657964129,3.234979666,4.25E-05,0.4875,-2.117753,0.302437248,5.56455945,-2.392970496,1.093596616,0.354130542,446.5598536,179.7087459,0.578306998
Coprosma robusta,19,14.555,24,841.35,75.55,490,Coprosma,robusta,COPROB,angio,4,-3.331257919,-1.929210438,-4.7333054,41.09749446,2.96E-01,6.035,0.327934039,0.49282794,0.383978166,8.673548907,6.40E-05,0.508605119,-2.12079925,0.277706638,6.876589854,-2.395504976,0.935752943,0.655868078,367.2886331,145.4209167,0.497101463
Coprosma rotundifolia,26,12.3,22.7,1025.5,61,496,Coprosma,rotundifolia,COPROT,angio,3,-3.951479338,-2.006196593,-5.896762082,25.91014104,7.11E-01,6.506666667,0.226889133,0.289524179,0.218073663,1.688557089,9.94E-05,0.283230373,-1.746922833,0.03708593,24.11002341,-2.084439797,1.867039541,0.392983506,346.6030019,41.47652547,0.496566433
Dacrycarpus dacrydioides,23,14.4,23.7,1211.9,68,499,Dacrycarpus,dacrydioides,DACDAC,conifer,5,-2.669604183,-1.63130726,-3.707901105,50.19813783,2.88E-01,6.561,0.113192248,0.128714716,0.176916356,5.081941277,5.12E-05,0.430358571,-2.0853409,0.20183304,4.192856746,-2.366003629,0.303600554,0.253105561,490.7604707,291.1962843,0.397092662
Dacrydium cupressinum,31,13.01,23,1428,59.1,499,Dacrydium,cupressinum,DACCUP,conifer,3,-2.912947945,-0.451646199,-5.37424969,21.15850214,2.60E-01,7.606666667,0.102679678,0.410584773,0.331921975,2.918787952,0.000189931,0.656926767,-2.4111678,0.149216258,3.820492862,-2.63709161,0.275856335,0.177846419,512.7861129,201.1866593,0.46849181
Dracophyllum longifolium,38,11.1,20,1431.6,53.4,493,Dracophyllum,longifolium,DRALON,angio,4,-1.855956441,-1.443708183,-2.268204699,125.9512257,1.23E-01,8.50875,0.063523978,0.019947114,0.108751677,14.31806855,3.38E-05,0.202889286,NA,NA,NA,NA,NA,0.127047956,613.3849728,200.4653012,0.497204073
Elaeocarpus dentatus,29,13.8,23.3,1402,61,496,Elaeocarpus,dentatus,ELADEN,angio,2,-3.307550887,-3.027048692,-3.588053082,181.3204965,2.51E-01,5.915,0.11248857,0.148980356,0.075996784,23.58879473,8.49E-05,0.175,-1.954474,0.136776286,7.543829289,-2.257122368,1.050428519,0.159082861,481.0719438,152.2216478,0.493077331
Elaeocarpus hookerianus,34,11.4,21.9,1393.75,60,500,Elaeocarpus,hookerianus,ELAHOO,angio,3,-3.416928708,-3.10851223,-3.725345186,167.7580165,3.25E-01,6.088333333,0.091207007,0.052485829,0.131328499,21.36443494,0.000126678,0.237790758,-1.774136,0.069197498,7.580774686,-2.107081152,1.309847556,0.15797517,475.6023308,172.1993796,0.482634594
Fuchsia excorticata,26,12.32,22.7,1159,68,497,Fuchsia,excorticata,FUCEXC,angio,10,-1.708605573,-1.337935784,-2.079275361,147.6526348,6.10E-01,6.919,0.094063962,0.108628715,0.093248244,14.61931172,0.0001452,0.210765536,-0.9777244,0.281329195,18.80348363,-1.444466701,0.264138872,0.297456366,158.3447564,47.6672481,0.493034732
Fuscospora fusca,31,11.4,21.9,1355.7,60,499,Nothofagus,fusca,FUSFUS,angio,5,-2.298592374,-1.909015443,-2.688169306,186.6608286,4.77E-01,7.305,0.085675226,0.065237807,0.163747049,69.56557169,8.32E-05,0.139508064,-2.1699048,0.165931785,12.37499683,-2.436360794,-0.13776842,0.191575629,440.4869222,97.54574065,0.561832959
Fuscospora solandri,28,11.605,22.2,1144.75,68,500,Nothofagus,solandri,FUSSOL,angio,5,-2.760246678,-2.273552567,-3.263182015,139.6466672,4.12E-01,6.629,0.06238129,0.203708135,0.134519032,31.97810343,0.000144502,0.425568443,-2.1828209,0.216978371,8.689249399,-2.447106989,0.313139689,0.139488805,490.6450351,163.3634507,0.555737059
Fuscospora truncata,29,13.6,22.9,1430.5,60,495,Nothofagus,truncata,FUSTRU,angio,7,-2.486205603,-2.052287828,-2.920123377,120.5824104,1.07E+00,6.457142857,0.140705395,0.136019456,0.155936769,9.722520994,0.000158533,0.397093394,-2.2381408,0.199287901,8.20614852,-2.493133146,-0.006927543,0.372271483,469.2309938,131.3247632,0.64287244
Griselinia littoralis,30,11.405,22.1,1185.7,60,500,Griselinia,littoralis,GRILIT,angio,2,-2.964970092,-1.964869974,-3.965070209,50.10584236,2.20E-01,7.745,0.155835676,0.202875178,0.108796174,2.356717913,5.90E-05,0.32,-1.2467692,0.115247814,8.293827033,-1.668311974,1.296658118,0.220384927,340.9735164,136.3414188,0.555571316
Halocarpus bidwillii,28.45,11.355,21.5,969,62,490,Halocarpus,bidwillii,HALBID,conifer,2,-5.177071046,-4.154222455,-6.199919638,50.38066042,1.24E-01,6.245,0.161380314,0.337729319,0.014968691,8.686113885,1.17E-05,0.48,-1.9552051,0.144731438,4.192856746,-2.257730643,2.919340403,0.228226229,486.2487218,458.8708247,0.637504556
Halocarpus biformis,45.6,11.115,20.8,1551.25,46,498,Halocarpus,biformis,HALBIF,conifer,4,-4.370167662,-2.233872891,-6.506462433,23.72544244,6.87E-02,7.1025,0.329733171,0.341963578,0.373936236,1.636814456,6.94E-06,0.484107856,-2.029716375,0.123617711,1.76153141,-2.319724024,2.050443638,0.659466342,466.7014136,323.8760094,0.633437008
Hoheria angustifolia,16,13.64,23.4,649,80.35,274,Hoheria,angustifolia,HOHANG,angio,3,-4.820766895,-3.782688701,-5.85884509,49.01553819,6.38E-01,7.62,0.384405337,0.483488648,0.285507393,4.451914657,0.000250226,0.187949461,NA,NA,NA,NA,NA,0.665809574,NA,NA,NA
Hoheria glabrata,57.9,10.4,20.4,1972.7,55,499,Hoheria,glabrata,HOHGLA,angio,4,-3.073578163,-1.238472834,-4.908683493,27.84379553,5.69E-01,7.535,0.08959069,0.243342008,0.103208426,2.239633555,0.000145032,0.516603491,NA,NA,NA,NA,NA,0.17918138,223.777778,30.93882928,0.467387441
Knightia excelsa,27,14.3,23.7,1312,65,500,Knightia,excelsa,KNIEXC,angio,2,-4.394870927,-3.539817864,-5.24992399,58.64925409,6.81E-02,6.955,0.108246958,0.061760647,0.154733268,3.188559342,6.02E-06,0.61,-2.3192929,0.234472773,5.344831917,-2.560651693,1.834219234,0.153084316,499.2404137,248.8118978,0.548121912
Lepidothamnus intermedius,40.9,11.845,21.9,1548,53,492,Lepidothamnus,intermedius,LEPINT,conifer,6,-5.567588976,-4.189091756,-6.946086197,38.6961668,1.29E-01,4.753333333,0.194368327,0.279592512,0.22195127,4.203313951,2.42E-05,1.516296841,NA,NA,NA,NA,NA,0.476103223,440.3722868,242.4748651,0.625961882
Libocedrus bidwillii,36,11.11,21.4,1401.7,46,499,Libocedrus,bidwillii,LIBBID,conifer,6,-3.700101922,-2.320477694,-5.07972615,47.05682725,1.18E-01,6.1625,0.296078553,0.111290176,0.607004578,10.06314511,1.35E-05,0.405151721,-1.7256397,0.129084534,2.783211378,-2.06673223,1.633369692,0.725241379,454.2173131,526.3035394,0.364256572
Lophomyrtus obcordata,17,14.3,23.45,699.5,73,471,Lophomyrtus,obcordata,LOPOBC,angio,5,-5.57659653,-2.844513374,-8.308679686,21.17597574,3.65E-01,6.72,0.403310931,0.8319541,0.38108511,4.024673742,8.91E-05,0.237144471,NA,NA,NA,NA,NA,0.901830658,387.8504673,63.12844242,0.570917053
Lophozonia menziesii,36,11.1,21.5,1304.75,55,500,Nothofagus,menziesii,LOPMEN,angio,4,-2.366756385,-2.07262357,-2.660889199,171.7969738,4.14E-01,6.11125,0.107418061,0.10151175,0.11592018,9.730325891,0.000180002,0.242146435,-2.5454465,0.164722994,7.102338032,-2.748811488,-0.382055103,0.214836122,478.1296445,150.0743865,0.516083046
Manoao colensoi,40.45,11.7,22.05,1932.5,49,491,Manoao,colensoi,MANCOL,conifer,5,-4.076701962,-2.975419996,-5.177983928,46.9917388,2.75E-01,6.757,0.379115116,0.383791032,0.404840742,4.045077295,7.01E-05,0.22773669,-1.80642625,0.204520425,3.240450185,-2.13394664,1.942755322,0.847727171,408.249699,308.5990967,NA
Myrsine divaricata,35.9,11.2,21.6,1268.6,53.1,499,Myrsine,divaricata,MYRDIV,angio,3,-2.143771316,-1.104425482,-3.183117151,49.85388898,6.01E-02,8.24,0.103356108,0.075899547,0.241502471,6.221033745,1.67E-05,0.09504385,-2.0117435,0.074410354,13.8537954,-2.304770592,-0.160999276,0.17901803,349.9930923,87.94988903,0.640163667
Neomyrtus pedunculata,26,11.6,22.5,1114.35,63,484,Neomyrtus,pedunculata,NEOPED,angio,5,-2.797327628,-1.978446438,-3.616208818,65.71587777,3.33E-01,6.853,0.124438062,0.190987774,0.135847048,9.099700739,4.00E-05,0.085740889,-2.0241722,0.351291035,11.38874382,-2.31511127,0.482216358,0.278251966,NA,89.18206922,NA
Olearia avicennifolia,22,11.575,22.1,948,72,486,Olearia,avicenniifolia,OLEAVI,angio,5,-3.887115664,-2.138327278,-5.635904049,28.81503401,2.84E-01,8.282,0.192200829,0.207016386,0.209850107,1.21569777,7.95E-05,0.213966119,NA,NA,NA,NA,NA,0.429774119,386.2918224,110.0174656,0.559452044
Olearia ilicifolia,39.8,10.41,20.3,1456.8,49,499,Olearia,ilicifolia,OLEILI,angio,2,-3.741748396,-0.860090082,-6.62340671,17.35210828,3.69E-02,7.4175,0.126590676,0.10484638,0.148334973,0.130934813,1.06E-05,0.4125,NA,NA,NA,NA,NA,0.179026251,415.153517,153.6720705,0.516596929
Pennantia corymbosa,24,13,22.94,1151.2,78.8,493,Pennantia,corymbosa,PENCOR,angio,3,-4.071282253,-1.940107574,-6.202456933,31.12543232,1.86E-01,5.958333333,0.336048889,0.918952154,0.416659823,12.99154891,4.36E-05,0.327901577,-1.8426157,0.20706148,14.75691196,-2.164056262,1.907225991,0.58205375,297.300682,64.018,0.451456063
Phyllocladus alpinus,38,11.3,21.4,1521.75,52,500,Phyllocladus,alpinus,PHYALP,conifer,9,-6.899206953,-4.375933851,-9.422480054,21.63465587,2.42E-01,5.647222222,0.224775541,0.446288712,0.246777657,2.106989538,1.32E-05,0.725691773,-2.1036184,0.077139808,4.269037846,-2.381210509,4.517996444,0.674326623,512.8891906,219.4811919,0.556933547
Phyllocladus trichomanoides,23,15.1,24.4,1295,63,481,Phyllocladus,trichomanoides,PHYTRI,conifer,5,-6.700625372,-3.817535117,-9.583715628,20.33365635,2.16E-01,5.536,0.308816799,0.921129001,0.581439118,3.172054492,3.57E-05,0.073966209,-2.429689,0.04835772,5.863411446,-2.652501248,4.048124124,0.690535355,523.1823902,245.1269423,0.564565992
Pittosporum colensoi,28,12.66,23.06,1287,60,489,Pittosporum,colensoi,PITCOL,angio,4,-6.097999119,-5.058245443,-7.137752796,51.12767823,5.44E-01,6.1175,0.394956947,0.487343338,0.342351901,7.210985903,5.02E-05,0.424443263,-1.6530171,0.186306219,8.760195064,-2.006310227,4.091688892,0.789913894,383.4604247,114.1527092,0.567320575
Pittosporum eugenioides,18.85,13.92,23.2,703.6,77,497,Pittosporum,eugenioides,PITEUG,angio,2,-6.169700476,-4.1204301,-8.218970851,44.18293379,2.99E-01,5.78,0.496728707,1.868018059,0.874560646,29.56544309,0.000198779,0.45,-2.3509739,0.204324321,10.04586439,-2.587010285,3.582690191,0.702480474,447.0930382,131.7122143,0.634110898
