,site,quadrat,species,trackID,year_t,type,basalArea_genet,recruit_t,survives_tplus1,age,size_tplus1,nearEdge,Suspect,area_t,area_tplus1,flwr,flwr.pred,glum.pred,flwr.sim,glum.sim,seed.sim
29820,Big Fill,11999,Festuca arizonica,FESARI_2002_1,2002,Cover,0.000343037,NA,0,NA,NA,FALSE,FALSE,3.430371339,NA,NA,0.325120932,63.5949842,0,0,0
29821,Big Fill,11999,Festuca arizonica,FESARI_2002_2,2002,Cover,0.000681567,NA,1,NA,0.000848216,FALSE,FALSE,6.815666801,8.482157809,NA,0.3919744,89.06658684,0,0,0
29822,Big Fill,11999,Festuca arizonica,FESARI_2002_2,2003,Cover,0.000848216,NA,1,NA,0.001336729,FALSE,FALSE,8.482157809,13.36729193,NA,0.414302916,99.15722567,0,0,0
29823,Big Fill,11999,Festuca arizonica,FESARI_2002_2,2004,Cover,0.001336729,NA,0,NA,NA,FALSE,FALSE,13.36729193,NA,NA,0.461772914,123.9491125,0,0,0
29824,Big Fill,11999,Festuca arizonica,FESARI_2003_1,2003,Cover,0.00132329,1,1,0,0.001659669,FALSE,FALSE,13.23289515,16.59668826,NA,0.460707426,123.3361051,1,50,300
29825,Big Fill,11999,Festuca arizonica,FESARI_2003_1,2004,Cover,0.001659669,0,1,1,0.007033864,FALSE,FALSE,16.59668826,70.33863593,NA,0.484657626,137.8327851,0,0,0
29826,Big Fill,11999,Festuca arizonica,FESARI_2003_1,2005,Cover,0.007033864,0,1,2,0.004910852,FALSE,FALSE,70.33863593,49.10851733,NA,0.63445394,279.9411434,1,318,1908
29827,Big Fill,11999,Festuca arizonica,FESARI_2003_1,2006,Cover,0.004910852,0,1,3,0.00263187,FALSE,FALSE,49.10851733,26.3187014,NA,0.59842833,234.6978478,0,0,0
29828,Big Fill,11999,Festuca arizonica,FESARI_2003_1,2007,Cover,0.00263187,0,1,4,0.004987023,FALSE,FALSE,26.3187014,49.8702291,NA,0.533512933,172.8220764,1,173,1038
29829,Big Fill,11999,Festuca arizonica,FESARI_2003_1,2009,Cover,0.004987023,0,1,5,0.007863962,FALSE,FALSE,49.8702291,78.63961684,NA,0.599996779,236.4769373,1,258,1548
29830,Big Fill,11999,Festuca arizonica,FESARI_2003_1,2010,Cover,0.007863962,0,1,6,0.008595748,FALSE,FALSE,78.63961684,85.95748272,NA,0.645360344,295.6901481,1,262,1572
29831,Big Fill,11999,Festuca arizonica,FESARI_2003_1,2011,Cover,0.008595748,0,1,7,0.018142803,FALSE,FALSE,85.95748272,181.4280267,NA,0.653953022,308.8845649,0,0,0
29832,Big Fill,11999,Festuca arizonica,FESARI_2003_1,2012,Cover,0.018142803,0,1,8,0.004354487,FALSE,FALSE,181.4280267,43.54487235,NA,0.721803862,445.6245258,1,238,1428
29833,Big Fill,11999,Festuca arizonica,FESARI_2003_1,2013,Cover,0.004354487,0,1,9,0.005679323,FALSE,FALSE,43.54487235,56.79322734,NA,0.586108452,221.2524697,1,193,1158
29834,Big Fill,11999,Festuca arizonica,FESARI_2003_1,2014,Cover,0.005679323,0,1,10,0.008436308,FALSE,FALSE,56.79322734,84.36308043,NA,0.613158787,252.0506429,0,0,0
29835,Big Fill,11999,Festuca arizonica,FESARI_2003_1,2015,Cover,0.008436308,0,1,11,0.008606671,FALSE,FALSE,84.36308043,86.06671319,NA,0.652153021,306.0600945,1,372,2232
29836,Big Fill,11999,Festuca arizonica,FESARI_2003_1,2016,Cover,0.008606671,0,1,12,0.009772938,FALSE,FALSE,86.06671319,97.72937611,NA,0.654074955,309.0770851,0,0,0
29837,Big Fill,11999,Festuca arizonica,FESARI_2003_1,2017,Cover,0.009772938,0,1,13,0.000698451,FALSE,TRUE,97.72937611,6.984512378,NA,0.666171904,328.9614697,1,424,2544
29838,Big Fill,11999,Festuca arizonica,FESARI_2003_1,2018,Cover,0.000698451,0,1,14,0.015638426,FALSE,FALSE,6.984512378,156.3842607,NA,0.394451869,90.14241216,0,0,0
29839,Big Fill,11999,Festuca arizonica,FESARI_2003_1,2019,Cover,0.015638426,0,1,15,0.001644852,FALSE,FALSE,156.3842607,16.44851809,NA,0.708972313,414.3023722,1,560,3360
29840,Big Fill,11999,Festuca arizonica,FESARI_2003_1,2020,Cover,0.001644852,0,NA,16,NA,FALSE,FALSE,16.44851809,NA,NA,0.483707286,137.2276627,1,82,492
29841,Big Fill,11999,Festuca arizonica,FESARI_2003_2,2003,Cover,0.000143318,1,0,0,NA,FALSE,FALSE,1.433184977,NA,NA,0.249615213,41.44310268,1,67,402
29842,Big Fill,11999,Festuca arizonica,FESARI_2007_1,2007,Cover,0.000442119,1,1,0,0.001890055,FALSE,FALSE,4.421189657,18.90055168,NA,0.349174342,72.0261355,0,0,0
29843,Big Fill,11999,Festuca arizonica,FESARI_2007_1,2009,Cover,0.001890055,0,0,1,NA,FALSE,FALSE,18.90055168,NA,NA,0.498441776,146.9097091,1,129,774
29844,Big Fill,11999,Festuca arizonica,FESARI_2007_2,2007,Cover,0.000927628,1,0,0,NA,FALSE,FALSE,9.276277168,NA,NA,0.42354657,103.6082042,0,0,0
29845,Big Fill,11999,Festuca arizonica,FESARI_2007_3,2007,Cover,0.000206475,1,1,0,0.001662411,FALSE,FALSE,2.064750647,16.62411252,NA,0.279741597,49.57358623,1,33,198
29846,Big Fill,11999,Festuca arizonica,FESARI_2007_3,2009,Cover,0.001662411,0,1,1,0.000204075,FALSE,FALSE,16.62411252,2.040749606,NA,0.484832602,137.9444827,0,0,0
29847,Big Fill,11999,Festuca arizonica,FESARI_2007_3,2010,Cover,0.000204075,0,1,2,0.000343398,FALSE,FALSE,2.040749606,3.433977426,NA,0.278743075,49.29001334,1,40,240
29848,Big Fill,11999,Festuca arizonica,FESARI_2007_3,2011,Cover,0.000343398,0,1,3,0.005571196,FALSE,FALSE,3.433977426,55.7119631,NA,0.325218759,63.62777577,0,0,0
29849,Big Fill,11999,Festuca arizonica,FESARI_2007_3,2013,Cover,0.005571196,0,1,4,0.004436441,FALSE,FALSE,55.7119631,44.36441017,NA,0.611222386,249.6846979,0,0,0
29850,Big Fill,11999,Festuca arizonica,FESARI_2007_3,2014,Cover,0.004436441,0,1,5,0.005003315,FALSE,FALSE,44.36441017,50.03315198,NA,0.588026378,223.2858262,1,277,1662
29851,Big Fill,11999,Festuca arizonica,FESARI_2007_3,2015,Cover,0.005003315,0,1,6,0.00474208,FALSE,FALSE,50.03315198,47.42080021,NA,0.600328882,236.8556668,1,335,2010
29852,Big Fill,11999,Festuca arizonica,FESARI_2007_3,2016,Cover,0.00474208,0,1,7,0.002844496,FALSE,FALSE,47.42080021,28.44495551,NA,0.594857204,230.7051747,1,217,1302
29853,Big Fill,11999,Festuca arizonica,FESARI_2007_3,2017,Cover,0.002844496,0,1,8,0.001344822,FALSE,FALSE,28.44495551,13.4482163,NA,0.541707488,179.5368964,1,153,918
29854,Big Fill,11999,Festuca arizonica,FESARI_2007_3,2018,Cover,0.001344822,0,1,9,0.001640615,FALSE,FALSE,13.4482163,16.40614844,NA,0.462409489,124.3167093,0,0,0
29855,Big Fill,11999,Festuca arizonica,FESARI_2007_3,2020,Cover,0.001640615,0,NA,10,NA,FALSE,FALSE,16.40614844,NA,NA,0.483433982,137.0541164,0,0,0
29856,Big Fill,11999,Festuca arizonica,FESARI_2011_1,2011,Cover,0.0004661,1,0,0,NA,FALSE,FALSE,4.660996476,NA,NA,0.354284684,73.91713927,0,0,0
29857,Big Fill,11999,Festuca arizonica,FESARI_2013_1,2013,Cover,0.000257606,1,1,0,1.10E-07,FALSE,TRUE,2.576062512,0.001103999,NA,0.299042218,55.25798915,0,0,0
29858,Big Fill,11999,Festuca arizonica,FESARI_2013_1,2014,Cover,1.10E-07,0,0,1,NA,FALSE,FALSE,0.001103999,NA,NA,0.015635381,1.23008422,0,0,0
29859,Big Fill,11999,Festuca arizonica,FESARI_2014_1,2014,Cover,0.003375205,1,0,0,NA,FALSE,FALSE,33.75205133,NA,NA,0.559665904,195.2565298,1,147,882
29860,Big Fill,11999,Festuca arizonica,FESARI_2015_1,2015,Cover,0.007115558,1,0,0,NA,FALSE,FALSE,71.15557665,NA,NA,0.635589554,281.5316841,1,443,2658
29861,Big Fill,11999,Festuca arizonica,FESARI_2017_1,2017,Cover,0.002419558,1,1,0,0.003585564,FALSE,FALSE,24.19557606,35.8556388,NA,0.524621042,165.8352998,1,234,1404
29862,Big Fill,11999,Festuca arizonica,FESARI_2017_1,2018,Cover,0.003585564,0,1,1,0.008929469,FALSE,FALSE,35.8556388,89.29469493,NA,0.565978054,201.1353345,1,181,1086
29863,Big Fill,11999,Festuca arizonica,FESARI_2017_1,2019,Cover,0.008929469,0,1,2,0.000489552,FALSE,TRUE,89.29469493,4.895524101,NA,0.65760127,314.711283,0,0,0
29864,Big Fill,11999,Festuca arizonica,FESARI_2017_1,2020,Cover,0.000489552,0,NA,3,NA,FALSE,FALSE,4.895524101,NA,NA,0.359064354,75.71915212,0,0,0
29865,Big Fill,11999,Festuca arizonica,FESARI_2018_1,2018,Cover,0.000661159,1,1,0,0.000159099,FALSE,FALSE,6.611587101,1.590985644,NA,0.388904435,87.74797625,0,0,0
29866,Big Fill,11999,Festuca arizonica,FESARI_2018_1,2020,Cover,0.000159099,0,NA,1,NA,FALSE,FALSE,1.590985644,NA,NA,0.258008758,43.62239814,0,0,0
29867,Big Fill,11999,Festuca arizonica,FESARI_2018_2,2018,Cover,7.88E-05,1,0,0,NA,FALSE,FALSE,0.788434459,NA,NA,0.205178295,30.91106088,0,0,0
29868,Big Fill,11999,Festuca arizonica,FESARI_2018_3,2018,Cover,0.000500705,1,1,0,5.23E-05,FALSE,FALSE,5.007053008,0.523405002,NA,0.361267001,76.56065577,0,0,0
29869,Big Fill,11999,Festuca arizonica,FESARI_2018_3,2020,Cover,5.23E-05,0,NA,1,NA,FALSE,FALSE,0.523405002,NA,NA,0.178275109,25.28226256,0,0,0
29870,Big Fill,11999,Festuca arizonica,FESARI_2018_4,2018,Cover,0.000669385,1,0,0,NA,FALSE,FALSE,6.693852017,NA,NA,0.390152146,88.28197069,1,47,282
29871,Big Fill,11999,Festuca arizonica,FESARI_2018_5,2018,Cover,3.12E-06,1,0,0,NA,FALSE,FALSE,0.031216006,NA,NA,0.061548696,6.339426548,0,0,0
29872,Big Fill,11999,Festuca arizonica,FESARI_2020_1,2020,Cover,0.000167003,1,NA,0,NA,FALSE,FALSE,1.670031148,NA,NA,0.261967099,44.67263079,1,54,324
29873,Big Fill,11999,Festuca arizonica,FESARI_2020_2,2020,Cover,0.000351255,1,NA,0,NA,FALSE,FALSE,3.512547404,NA,NA,0.327328799,64.33793747,1,24,144
29874,Big Fill,11999,Festuca arizonica,FESARI_2020_3,2020,Cover,0.000121004,1,NA,0,NA,FALSE,FALSE,1.210043447,NA,NA,0.236407386,38.1407996,0,0,0
29875,Big Fill,12000,Festuca arizonica,FESARI_2003_1,2003,Cover,0.002415579,1,1,0,0.001486503,TRUE,FALSE,24.15579068,14.86503137,NA,0.524446891,165.7014533,0,0,0
29876,Big Fill,12000,Festuca arizonica,FESARI_2003_1,2004,Cover,0.001486503,0,1,1,0.002290119,TRUE,FALSE,14.86503137,22.90118816,NA,0.472990135,130.5788345,1,150,900
29877,Big Fill,12000,Festuca arizonica,FESARI_2003_1,2005,Cover,0.002290119,0,1,2,0.000804125,TRUE,FALSE,22.90118816,8.041251428,NA,0.518799785,161.4215702,1,227,1362
29878,Big Fill,12000,Festuca arizonica,FESARI_2003_1,2007,Cover,0.000804125,0,1,3,0.000724449,TRUE,FALSE,8.041251428,7.244488703,NA,0.408817637,96.59398146,0,0,0
29879,Big Fill,12000,Festuca arizonica,FESARI_2003_1,2009,Cover,0.000724449,0,1,4,0.002830355,TRUE,FALSE,7.244488703,28.30355138,NA,0.39816185,91.77331034,1,75,450
29880,Big Fill,12000,Festuca arizonica,FESARI_2003_1,2010,Cover,0.002830355,0,1,5,0.004414929,TRUE,FALSE,28.30355138,44.14928802,NA,0.541182472,179.0984445,1,176,1056
29881,Big Fill,12000,Festuca arizonica,FESARI_2003_1,2011,Cover,0.004414929,0,1,6,0.000627993,TRUE,FALSE,44.14928802,6.279933478,NA,0.587526644,222.7539514,1,250,1500
29882,Big Fill,12000,Festuca arizonica,FESARI_2003_1,2012,Cover,0.000627993,0,1,7,0.004601888,TRUE,FALSE,6.279933478,46.01888136,NA,0.383727444,85.56005054,0,0,0
29883,Big Fill,12000,Festuca arizonica,FESARI_2003_1,2014,Cover,0.004601888,0,1,8,0.002583035,TRUE,FALSE,46.01888136,25.83035317,NA,0.59178477,227.3332435,0,0,0
29884,Big Fill,12000,Festuca arizonica,FESARI_2003_1,2016,Cover,0.002583035,0,1,9,0.001395637,TRUE,FALSE,25.83035317,13.95637407,NA,0.531534541,171.2412227,0,0,0
29885,Big Fill,12000,Festuca arizonica,FESARI_2003_1,2018,Cover,0.001395637,0,1,10,0.001616098,TRUE,FALSE,13.95637407,16.16098257,NA,0.466323932,126.599692,0,0,0
29886,Big Fill,12000,Festuca arizonica,FESARI_2003_1,2019,Cover,0.001616098,0,1,11,0.004192136,TRUE,FALSE,16.16098257,41.92136299,NA,0.481838753,136.045402,0,0,0
29887,Big Fill,12000,Festuca arizonica,FESARI_2003_1,2020,Cover,0.004192136,0,NA,12,NA,TRUE,FALSE,41.92136299,NA,NA,0.58219203,217.1659909,1,240,1440
29888,Big Fill,12000,Festuca arizonica,FESARI_2004_1,2004,Cover,3.12E-06,1,0,0,NA,FALSE,FALSE,0.03119501,NA,NA,0.061532208,6.337334194,0,0,0
29889,Big Fill,12000,Festuca arizonica,FESARI_2004_2,2004,Cover,6.23E-06,1,0,0,NA,TRUE,FALSE,0.06230699,NA,NA,0.080828729,8.898552749,0,0,0
29890,Big Fill,12000,Festuca arizonica,FESARI_2004_3,2004,Cover,3.13E-06,1,0,0,NA,TRUE,FALSE,0.031257493,NA,NA,0.061581255,6.343558931,0,0,0
29891,Big Fill,12000,Festuca arizonica,FESARI_2005_1,2005,Cover,0.000319225,1,0,0,NA,FALSE,FALSE,3.192246084,NA,NA,0.318458901,61.38934706,0,0,0
29892,Big Fill,12000,Festuca arizonica,FESARI_2005_2,2005,Cover,0.000196922,1,0,0,NA,FALSE,FALSE,1.969223451,NA,NA,0.275709732,48.43470374,0,0,0
29893,Big Fill,12000,Festuca arizonica,FESARI_2005_3,2005,Cover,3.11E-06,1,0,0,NA,FALSE,FALSE,0.031106975,NA,NA,0.061462999,6.32855307,0,0,0
29894,Big Fill,12000,Festuca arizonica,FESARI_2005_4,2005,Cover,3.13E-06,1,0,0,NA,FALSE,FALSE,0.031257518,NA,NA,0.061581274,6.343561361,0,0,0
29895,Big Fill,12000,Festuca arizonica,FESARI_2005_5,2005,Cover,3.12E-06,1,0,0,NA,FALSE,FALSE,0.031202508,NA,NA,0.061538097,6.338081459,0,0,0
29896,Big Fill,12000,Festuca arizonica,FESARI_2012_1,2012,Cover,1.87E-05,1,1,0,0.000201471,FALSE,FALSE,0.187147992,2.014714262,NA,0.122984413,15.26410978,0,0,0
29897,Big Fill,12000,Festuca arizonica,FESARI_2012_1,2013,Cover,0.000201471,0,0,1,NA,FALSE,FALSE,2.014714262,NA,NA,0.277649076,48.98047749,0,0,0
29898,Big Fill,12000,Festuca arizonica,FESARI_2012_2,2012,Cover,9.37E-06,1,0,0,NA,FALSE,FALSE,0.093657509,NA,NA,0.094644368,10.86838552,0,0,0
29899,Big Fill,12000,Festuca arizonica,FESARI_2013_1,2013,Cover,0.001288207,1,1,0,0.004358676,FALSE,FALSE,12.88206642,43.58676348,NA,0.457876029,121.7208056,1,95,570
29900,Big Fill,12000,Festuca arizonica,FESARI_2013_1,2015,Cover,0.004358676,0,1,1,0.005004629,TRUE,FALSE,43.58676348,50.04628597,NA,0.586207424,221.3568762,1,225,1350
29901,Big Fill,12000,Festuca arizonica,FESARI_2013_1,2017,Cover,0.005004629,0,0,2,NA,FALSE,FALSE,50.04628597,NA,NA,0.600355603,236.8861706,1,272,1632
29902,Big Fill,12000,Festuca arizonica,FESARI_2015_1,2015,Cover,0.000294818,1,0,0,NA,FALSE,FALSE,2.948184267,NA,NA,0.311179423,59.03989143,0,0,0
29903,Big Fill,12000,Festuca arizonica,FESARI_2017_1,2017,Cover,0.000394161,1,0,0,NA,TRUE,FALSE,3.941608901,NA,NA,0.338185612,68.080727,0,0,0
29904,Big Fill,12000,Festuca arizonica,FESARI_2019_1,2019,Cover,2.19E-05,1,NA,0,NA,FALSE,FALSE,0.218576404,NA,NA,0.130267215,16.47211311,0,0,0
29905,Big Fill,12000,Festuca arizonica,FESARI_2019_2,2019,Cover,2.36E-05,1,1,0,0.000952575,FALSE,FALSE,0.236408914,9.525752291,NA,0.134084136,17.11830268,1,22,132
29906,Big Fill,12000,Festuca arizonica,FESARI_2019_2,2020,Cover,0.000952575,0,NA,1,NA,FALSE,FALSE,9.525752291,NA,NA,0.426298272,104.9660898,1,100,600
29907,Big Fill,12000,Festuca arizonica,FESARI_2019_3,2019,Cover,1.96E-05,1,NA,0,NA,FALSE,FALSE,0.19576935,NA,NA,0.125060507,15.605156,0,0,0
29908,Big Fill,12000,Festuca arizonica,FESARI_2020_1,2020,Cover,0.000266167,1,NA,0,NA,FALSE,FALSE,2.661670951,NA,NA,0.301958034,56.15146978,0,0,0
29909,Big Fill,16 / 30716,Festuca arizonica,FESARI_2004_1,2004,Cover,0.00025396,1,1,0,0.000557642,FALSE,FALSE,2.539596201,5.576415048,NA,0.2977757,54.87280788,0,0,0
29910,Big Fill,16 / 30716,Festuca arizonica,FESARI_2004_1,2006,Cover,0.000557642,0,1,1,0.000896622,FALSE,FALSE,5.576415048,8.966218109,NA,0.371877413,80.71498546,0,0,0
29911,Big Fill,16 / 30716,Festuca arizonica,FESARI_2004_1,2007,Cover,0.000896622,0,1,2,0.002582657,FALSE,FALSE,8.966218109,25.82657189,NA,0.420028539,101.8943664,1,215,1290
29912,Big Fill,16 / 30716,Festuca arizonica,FESARI_2004_1,2009,Cover,0.002582657,0,1,3,0.00409887,FALSE,FALSE,25.82657189,40.98870294,NA,0.531519073,171.228923,1,180,1080
29913,Big Fill,16 / 30716,Festuca arizonica,FESARI_2004_1,2010,Cover,0.00409887,0,1,4,0.000683569,FALSE,FALSE,40.98870294,6.835692275,NA,0.579868044,214.7819049,1,141,846
29914,Big Fill,16 / 30716,Festuca arizonica,FESARI_2004_1,2011,Cover,0.000683569,0,1,5,0.000729783,FALSE,FALSE,6.835692275,7.29783248,NA,0.392271132,89.1948864,0,0,0
29915,Big Fill,16 / 30716,Festuca arizonica,FESARI_2004_1,2012,Cover,0.000729783,0,1,6,0.002312525,FALSE,FALSE,7.29783248,23.12524814,NA,0.398908036,92.10424386,1,100,600
